"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Anchor"	"Is source canonical"	"Is source noindex"	"Is target canonical"	"Is target noindex"	"Is link self-referencing"
"Href link"	"false"	"https://cindemirlaw.com/gokhan-cindemir-attorney-at-law-2-2/?lang=zh-hans"	"200"	"https://cindemirlaw.com/link11/"	"301"	""	"Link to: 债务催收服务"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/private-international-law-rules/"	"200"	"https://www.youtube.com/channel/UCHobIlbWxCMGTPBSZv_rM7Q"	""	"Restricted domain"	"Link to Youtube"	"true"	"false"	""	""	"false"
"Href link"	"false"	"https://cindemirlaw.com/crypto-market-manipulation-and-its-legal-implications-under-turkish-law/"	"200"	"https://cindemirlaw.com/nft-law-in-turkey/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/legal-support-for-visiting-foreign-nationals-in-turkish-prisons/"	"200"	"https://cindemirlaw.com/"	"200"	""	"Cindemir Law Office Cindemir Law Office"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/tag/damage/"	"200"	"https://cindemirlaw.com/who-is-hafiz-huseyin-husnu-efendi/"	"200"	""	"Who is Hafız Hüseyin Hüsnü Efendi?"	"true"	"true"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/crypto-market-manipulation-and-its-legal-implications-under-turkish-law/"	"200"	"https://cindemirlaw.com/crypto-asset-fraud-common-schemes-legal-analysis-what-victims-should-do/"	"200"	""	"rug pull"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/escrow-account-turkey/"	"200"	"https://cindemirlaw.com/"	"200"	""	"Русский Русский Russian ru"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/"	"200"	"https://www.facebook.com/p/Cindemir-Hukuk-B%C3%BCrosu-Cindemir-Law-Office-100066585793269/?locale=tr_TR"	""	"Restricted domain"	"Link to Facebook"	"true"	"false"	""	""	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D1%83%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D1%83%D0%B4%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D0%B8-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%B8%D0%BD%D0%BE%D1%81%D1%82/?lang=ru"	"200"	"https://cindemirlaw.com/articles/"	"200"	""	"Статьи"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/enforcement-and-recognition-of-foreign-arbitral-awards-in-turkey/"	"200"	"https://cindemirlaw.com/consensual-divorce-in-turkey-uncontested-divorce/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
