"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Alt attribute"	"Is source canonical"	"Is source noindex"	"Is link self-referencing"
"Image"	"false"	"https://cindemirlaw.com/crypto-assets-status-a-perspective-following-turkeys-stance-on-crypto-use/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/cindemir-hukuk-burosu-cindemir-law-office-kusdili-caddesi-osmanaga-mahallesi-artunc-apartmani-no173-34714-kadikoy-istanbul-2/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png"	"200"	""	"English"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/administration-of-crypto-assets-under-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/540664430-300x200.jpg"	"200"	""	"administration of crypto assets, crypto asset regulation Turkey, Capital Markets Law crypto assets, CMB oversight crypto assets, crypto asset service providers Turkey, TÜBİTAK crypto assets, compliance crypto assets Turkey, crypto asset custody rules, crypto asset technological standards, investor protection crypto assets Turkey, crypto asset market regulation, crypto asset issuance Turkey, crypto asset service provider requirements, Turkish crypto asset law, crypto asset market oversight."	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/turkish-law-of-torts/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/administration-of-crypto-assets-under-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/form-a-document-legal-proof-of-birth-in-turkey-and-application-procedures/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/sales-of-real-estate-to-foreigners-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb3fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/themes/enfold/images/layout/logo.png"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D1%83%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D1%83%D0%B4%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D0%B8-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%B8%D0%BD%D0%BE%D1%81%D1%82/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/team/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/plastic-surgery-malpractice-in-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/hakan-cindemir-2/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/news-events/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbdfde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D1%87%D0%BD%D0%B0%D1%8F-%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%B0/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/themes/enfold/images/layout/logo.png"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/paternity-in-turkish-law-under-new-turkish-constitution-court-decision/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/escrow-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-us-judgments-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%BE%D1%8F%D0%B7%D1%8B%D1%87%D0%BD%D1%8B%D0%B9-%D1%8E%D1%80%D0%B8%D1%81%D1%82-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D1%8E%D1%80%D0%B8%D0%B4%D0%B8%D1%87/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
